year,rank,artist,song,gender,queerFlag,lyricFlag,relationshipType,sampleLyrics,artistID
2008,1,Flo Rida Featuring T-Pain,Low,man,0,0,,,
2008,2,Leona Lewis,Bleeding Love,woman,0,0,,,
2008,3,Alicia Keys,No One,woman,0,0,,,
2008,4,Lil Wayne Featuring Static Major,Lollipop,man,0,0,,,
2008,5,Timbaland Featuring OneRepublic,Apologize,man,0,0,,,
2008,6,Jordin Sparks Duet With Chris Brown,No Air,mixed,0,0,,,
2008,7,Sara Bareilles,Love Song,woman,0,0,,,
2008,8,Usher Featuring Young Jeezy,Love In This Club,man,0,0,,,
2008,9,Chris Brown,With You,man,0,0,,,
2008,10,Chris Brown,Forever,man,0,0,,,
2008,11,Ray J & Yung Berg,Sexy Can I,man,0,0,,,
2008,12,Rihanna,Take A Bow,woman,0,0,,,
2008,13,Coldplay,Viva La Vida,man,0,0,,,
2008,14,Katy Perry,I Kissed A Girl,woman,0,1,,"I kissed a girl and I liked it, The taste of her cherry chapstick",
2008,15,T.I.,Whatever You Like,man,0,0,,,
2008,16,Rihanna,Disturbia,woman,0,0,,,
2008,17,Rihanna,Don't Stop The Music,woman,0,0,,,
2008,18,Natasha Bedingfield,Pocketful Of Sunshine,woman,0,0,,,
2008,19,Chris Brown Featuring T-Pain,Kiss Kiss,man,0,0,,,
2008,20,Ne-Yo,Closer,man,0,0,,,
2008,21,Colbie Caillat,Bubbly,woman,0,0,,,
2008,22,Mariah Carey,Touch My Body,woman,0,0,,,
2008,23,Madonna Featuring Justin Timberlake & Timbaland,4 Minutes,mixed,0,0,,,
2008,24,P!nk,So What,woman,0,0,,,
2008,25,Finger Eleven,Paralyzer,man,0,0,,,
2008,26,Fergie,Clumsy,woman,1,0,Straight,,Kesha
2008,27,Jason Mraz,I'm Yours,man,1,0,Unspecified,,Adam Lambert
2008,28,Jesse McCartney,Leavin',man,0,0,,,
2008,29,Kardinal Offishall Featuring Akon,Dangerous,man,0,0,,,
2008,30,Jordin Sparks,Tattoo,woman,0,0,,,
